strategy_name,parameters,return,sharpe,sortino,drawdown,robustness,walk_forward_score,composite_score,symbol,start_date,end_date,timestamp
EMA Price Crossover (EMA 50),{'ema_period': 50},216.32611825373203,0.8338289462218456,1.290179960714991,51.937799656618026,94.44944803953622,66.66666666666666,71.46429933523171,BTC-USD,2021-06-15,2026-06-15,2026-06-15T11:13:38.490440
EMA Crossover (EMA 50 vs EMA 200),"{'fast_period': 50, 'slow_period': 200}",310.41441249856507,0.909303043467552,1.4035574284949135,44.3493784165097,96.09754111123583,66.66666666666666,74.19418390790342,BTC-USD,2021-06-15,2026-06-15,2026-06-15T11:13:49.211769
SMA Crossover (SMA 20 vs SMA 50),"{'fast_period': 20, 'slow_period': 50}",18.66741874812784,0.27879167411521755,0.4092693851322874,57.87517763536884,78.89650667766804,66.66666666666666,34.702714649304255,BTC-USD,2021-08-03,2026-06-15,2026-06-15T11:13:58.680743
MACD Strategy (MACD 12/26/9),"{'fast_period': 12, 'slow_period': 26, 'signal_period': 9}",118.42336304381955,0.6255257062422802,0.9649040277975798,44.37960985801248,84.89352566883076,100.0,70.05397404421157,BTC-USD,2021-06-15,2026-06-15,2026-06-15T11:14:06.721101
"Supertrend (ATR 10, Mult 3.0)","{'atr_period': 10, 'multiplier': 3.0}",94.14196369313245,0.5389211017881793,0.8041526718786551,46.889266137130264,79.33018515169002,33.33333333333333,65.68621513390633,BTC-USD,2021-06-15,2026-06-15,2026-06-15T11:14:18.393503
Donchian Breakout (Lookback 20),{'lookback_period': 20},90.5643206901539,0.5326919938249043,0.8048325329720095,45.94544693951023,85.09605295837085,66.66666666666666,65.78164105718318,BTC-USD,2021-07-05,2026-06-15,2026-06-15T11:14:25.081786
"RSI Strategy (RSI 14, OS 30, OB 70)","{'rsi_period': 14, 'oversold': 30, 'overbought': 70}",24.132830089052096,0.30880377507926016,0.44926072852969123,61.644485260617266,20.451232546415955,66.66666666666666,24.184307559158842,BTC-USD,2021-06-28,2026-06-15,2026-06-15T11:14:29.166751
"Bollinger Bands (Period 20, Std 2.0)","{'period': 20, 'std_dev': 2.0}",55.86823652038518,0.42814898916745553,0.6212724651933039,58.10811902846579,46.99919480104805,33.33333333333333,42.28101857967768,BTC-USD,2021-07-04,2026-06-15,2026-06-15T11:14:38.022462
"ATR Breakout (ATR 14, Mult 1.5)","{'atr_period': 14, 'multiplier': 1.5}",61.988195770272995,0.4501163093646886,0.666183286992477,51.58892797920623,81.63103071969493,66.66666666666666,53.12561806449757,BTC-USD,2021-06-28,2026-06-15,2026-06-15T11:14:48.097983
EMA Price Crossover (EMA 50),{'ema_period': 50},29.816305808555025,0.34048622879776963,0.4960380844494187,63.519555394900664,87.17480932140211,100.0,39.26068824053465,ETH-USD,2021-06-15,2026-06-15,2026-06-15T11:14:58.668902
EMA Crossover (EMA 50 vs EMA 200),"{'fast_period': 50, 'slow_period': 200}",17.486811185759088,0.29603751198795747,0.4423694642486109,50.45451322013535,77.91764856225281,66.66666666666666,36.06386873568546,ETH-USD,2021-06-15,2026-06-15,2026-06-15T11:15:08.445623
SMA Crossover (SMA 20 vs SMA 50),"{'fast_period': 20, 'slow_period': 50}",48.7663356493751,0.40693311252474407,0.6088331799666988,49.607998805555795,75.16366317883679,33.33333333333333,47.41183782849132,ETH-USD,2021-08-03,2026-06-15,2026-06-15T11:15:18.084085
MACD Strategy (MACD 12/26/9),"{'fast_period': 12, 'slow_period': 26, 'signal_period': 9}",45.24433857789336,0.3928253764135592,0.6004882001217164,57.710458215337304,82.91146927888285,66.66666666666666,45.609033646961976,ETH-USD,2021-06-15,2026-06-15,2026-06-15T11:15:23.386666
"Supertrend (ATR 10, Mult 3.0)","{'atr_period': 10, 'multiplier': 3.0}",67.05768751881573,0.4512908194926156,0.684039816258014,50.6715124939313,70.0818620654364,66.66666666666666,52.82729038447406,ETH-USD,2021-06-15,2026-06-15,2026-06-15T11:15:35.769185
Donchian Breakout (Lookback 20),{'lookback_period': 20},19.75778459833933,0.3100144551595077,0.4541411104458386,60.6607282697913,26.396826214513023,100.0,24.096170819270263,ETH-USD,2021-07-05,2026-06-15,2026-06-15T11:15:43.299067
"RSI Strategy (RSI 14, OS 30, OB 70)","{'rsi_period': 14, 'oversold': 30, 'overbought': 70}",-1.9551078702477207,0.24549851313881665,0.3590901729960666,70.58430424105725,6.8470305072894,33.33333333333333,10.359986795452345,ETH-USD,2021-06-28,2026-06-15,2026-06-15T11:15:47.285359
"Bollinger Bands (Period 20, Std 2.0)","{'period': 20, 'std_dev': 2.0}",-67.35838394891802,-0.14535203534782576,-0.20851972254206796,81.64940275805705,0.0,33.33333333333333,4.587649310485737,ETH-USD,2021-07-04,2026-06-15,2026-06-15T11:15:59.000155
"ATR Breakout (ATR 14, Mult 1.5)","{'atr_period': 14, 'multiplier': 1.5}",63.71081891615861,0.443401276642967,0.6755392374083862,47.64351434632893,84.07200474224258,66.66666666666666,55.15831749347491,ETH-USD,2021-06-28,2026-06-15,2026-06-15T11:16:09.616479
